Group-Name,Group-ID,In/Out,Protocol,Port,Source/Destination
launch-wizard-20,sg-00d822a7d51790fd6
,,,tcp,443,172.21.3.0/24
,,,tcp,443,172.21.4.0/24
,,,tcp,443,172.21.7.0/24
,,,tcp,443,172.21.8.0/24
,,,tcp,443,172.31.64.0/20
,,,udp,514,47.190.60.88/32
,,Outbound
,,,All,All,0.0.0.0/0
thorn-ha-sftp-SFTPGatewaySG-1IIZN9MGD8N5U,sg-07e433024af317c4a
,,Inbound
,,,tcp,80,24.182.104.39/32
,,,tcp,22,0.0.0.0/0
,,,tcp,389,sg-07e433024af317c4a
,,,tcp,443,131.226.36.57/32
,,,tcp,443,131.226.34.254/32
,,,tcp,443,47.185.178.125/32
,,,tcp,443,24.182.104.39/32
,,Outbound
,,,tcp,65535,0.0.0.0/0
,,,udp,65535,0.0.0.0/0
Corporate ServiceDesk Plus,sg-08c8ae641dc3e25b8
,,Inbound
,,,tcp,8080,47.187.193.147/32
,,,tcp,22,108.219.145.18/32
,,,tcp,22,47.187.214.136/32
,,,tcp,22,47.190.60.88/32
,,,tcp,22,172.21.2.80/32
,,,tcp,22,47.187.193.147/32
,,,tcp,443,47.190.60.88/32
,,,tcp,443,47.190.60.89/32
,,,tcp,443,47.190.60.90/32
,,,tcp,443,47.190.60.91/32
,,,tcp,443,47.190.60.92/32
,,,tcp,443,3.215.45.139/32
,,,tcp,443,34.201.205.169/32
,,,tcp,443,35.173.254.206/32
,,,tcp,443,172.21.2.80/32
,,,tcp,443,172.21.2.126/32
,,,tcp,443,172.21.4.248/32
,,,tcp,443,47.185.170.165/32
,,,tcp,443,47.184.83.136/32
,,,tcp,443,24.27.104.28/32
,,,tcp,443,47.187.193.147/32
,,Outbound
,,,All,All,0.0.0.0/0
terraform-live-rds,sg-08e123ae5c3e423d6
,,Inbound
,,,tcp,5432,34.207.108.239/32
,,,tcp,5432,3.82.26.64/32
,,,tcp,5432,3.94.251.126/32
,,,tcp,5432,3.80.170.59/32
,,,tcp,5432,54.161.156.95/32
,,,tcp,5432,52.87.200.104/32
,,,tcp,5432,34.229.212.158/32
,,,tcp,5432,54.81.22.189/32
,,,tcp,5432,18.212.151.87/32
,,,All,All,10.50.0.0/16
,,Outbound
,,,All,All,0.0.0.0/0
Windows AD Outbound Ports,sg-08ed89861e97f1b17
,,Inbound
,,,tcp,9000,172.21.1.226/32
,,,tcp,65535,172.31.2.248/32
,,,tcp,22,172.21.1.33/32
,,,tcp,22,172.22.1.0/24
,,,tcp,22,172.22.2.0/24
,,,tcp,65535,172.21.1.33/32
,,,tcp,139,172.21.1.33/32
,,,tcp,135,172.21.1.33/32
,,,tcp,3389,172.21.1.33/32
,,,tcp,445,172.21.1.33/32
,,Outbound
,,,tcp,8383,172.31.72.56/32
,,,udp,464,172.21.1.95/32
,,,udp,464,172.21.3.136/32
,,,udp,135,172.21.1.95/32
,,,udp,135,172.21.3.136/32
,,,tcp,65535,172.21.1.16/32
,,,tcp,3128,172.21.1.222/32
,,,tcp,3128,172.21.3.37/32
,,,udp,389,172.21.1.95/32
,,,udp,389,172.21.3.136/32
,,,udp,53,172.21.1.95/32
,,,udp,53,172.21.3.136/32
,,,udp,53,172.21.3.123/32
,,,udp,53,172.21.1.90/32
,,,tcp,445,172.21.1.95/32
,,,tcp,445,172.21.3.136/32
,,,tcp,445,172.21.1.16/32
,,,tcp,8027,172.31.72.56/32
,,,tcp,139,172.21.1.95/32
,,,tcp,139,172.21.3.136/32
,,,tcp,135,172.21.1.95/32
,,,tcp,135,172.21.3.136/32
,,,tcp,135,172.21.1.16/32
,,,tcp,3269,172.21.1.95/32
,,,tcp,3269,172.21.3.136/32
,,,tcp,53,172.21.1.95/32
,,,tcp,53,172.21.3.136/32
,,,tcp,8031,172.31.72.56/32
,,,udp,445,172.21.1.95/32
,,,udp,445,172.21.3.136/32
,,,udp,138,172.21.1.95/32
,,,udp,138,172.21.3.136/32
,,,udp,65535,172.21.1.95/32
,,,udp,65535,172.21.3.136/32
,,,tcp,464,172.21.1.95/32
,,,tcp,464,172.21.3.136/32
